id,verbatim,source_type,url,date,occurrences,notes
D-001,"je paie quelqu'un pour ressaisir les factures fournisseurs dans l'outil comptable / ERP toute la journée",jobs,https://fr.indeed.com/q-saisie-facture-emplois.html,2026-07-25,20,"Indeed FR affiche 'plus de 2 000 emplois' pour Saisie Facture ; postes opérateur de saisie facture dont télétravail ; tâche quotidienne ; salaires typiques SMIC-14€/h"
D-002,"je paie un intérimaire 14-14,50€/h pour recréer les factures à la main après un changement de logiciel, en allant repêcher les prix et numéros de commande sur plusieurs serveurs puis en ressaisissant tout dans Excel",jobs,https://candidat.francetravail.fr/offres/recherche/detail/211MKKT,2026-07-25,1,"Agent de Facturation (h/f), Adecco Onsite, Fresnes-lès-Montauban, intérim 1 mois 35h, 14-14,50€ brut/h + TR ; douleur = migration logicielle non automatisée"
D-003,"je paie 2000€ brut/mois un assistant administratif dont le poste est littéralement intitulé 'saisie'",jobs,https://candidat.francetravail.fr/offres/recherche/detail/211LDWM,2026-07-25,1,"Assistant administratif saisie H/F, PROMAN, Bapaume (62), 2000€ brut/mois ; saisie de données quotidienne"
D-004,"je paie quelqu'un pour saisir les bons de livraison, les factures reçues au courrier, les CRA et classer les documents dans la GED",jobs,https://candidat.francetravail.fr/offres/recherche/detail/210QCLC,2026-07-25,1,"Assistant administratif (H/F), La Flèche (72) ; saisie BL + factures + CRA + GED, flux quotidien"
D-005,"je paie un assistant comptable pour saisir les factures fournisseurs et faire les rapprochements bancaires chaque mois",jobs,https://candidat.francetravail.fr/offres/recherche/detail/209NMVR,2026-07-25,3,"Assistant(e) comptable Foix (09) + Pontarlier (25) 210VKFM + St-Cyr-en-Val 210RCBK ; PME multi-secteurs ; mensuel/hebdo"
D-006,"je paie un salarié en cabinet comptable pour saisir et pointer les pièces des clients puis préparer les TVA, dossier après dossier",jobs,https://candidat.francetravail.fr/offres/recherche/detail/208HHBG,2026-07-25,4,"Assistant comptable cabinet : Louviers 208HHBG, Cambes 207ZFFR (saisie factures achats dans Odoo), Paris 210KFMH, Troyes 211BWMW ; Indeed 'Saisie Comptable : plus de 7 000 emplois' ; salaire indicatif proche SMIC-2200€"
D-007,"je paie un gestionnaire ADV pour administrer le logiciel de facturation (Sellsy/Chargebee) et relancer les clients par mail et téléphone",jobs,https://www.welcometothejungle.com/fr/companies/lifeaz/jobs/gestionnaire-adv-charge-de-facturation-client_paris,2026-07-25,1,"Gestionnaire ADV / Chargé de facturation client, Lifeaz (scale-up medtech), Paris, CDI ; facturation + recouvrement récurrents"
D-008,"je paie un gestionnaire pour traiter les factures, enregistrer avoirs et règlements, et gérer relances et litiges",jobs,https://www.welcometothejungle.com/fr/companies/groupe-covea/jobs/gestionnaire-facturation-f-h-cdd_levallois-perret_GCMMG_e4pROwL,2026-07-25,2,"Gestionnaire Facturation CDD Covéa Levallois + Gestionnaire Facturation EDF Renouvelables La Défense (facturation production + relances impayés) ; cycle mensuel"
D-009,"je paie quelqu'un pour facturer mes clients B2B chaque mois/trimestre et courir après les paiements par mail, courrier et téléphone",jobs,https://www.welcometothejungle.com/fr/companies/foodles/jobs/xxx-f-h_clichy_FOODL_6rpa12j,2026-07-25,3,"Gestionnaire ADV et recouvrement Foodles Clichy + Gestionnaire ADV Club Employés Lyon + Gestionnaire admin polyvalent Facilib Paris ; facturation B2B + relances impayés, cycle mensuel"
D-010,"je paie un chargé de recouvrement à temps plein pour relancer les impayés par téléphone et par écrit, dossier par dossier",jobs,https://candidat.francetravail.fr/offres/recherche/detail/211MBMW,2026-07-25,5,"Chargé(e) de recouvrement : Nîmes 211MBMW, Trignac 205LBWQ, Noyelles-Godault 205XGPF (courriers adaptés à l'ancienneté de la créance), St-Grégoire 187RXZS (plans de régularisation), Montaigu 194LPHN ; quotidien"
D-011,"je paie un assistant ADV pour saisir les commandes, suivre les expéditions, éditer les factures et tenir la base clients à jour",jobs,https://candidat.francetravail.fr/offres/recherche/detail/208PXGN,2026-07-25,3,"Assistant ADV Groupe Sagards (scierie) Bertrambois CDI 39h + St-Cézaire 210VNXY + St-André-de-la-Roche 211NJGG ; flux quotidien"
D-012,"je paie un assistant ADV pour émettre 150 à 200 factures par mois, saisir les commandes et relancer les impayés",jobs,https://candidat.francetravail.fr/offres/recherche/detail/209PLJF,2026-07-25,1,"Assistant ADV (h/f), Adecco pour client à Pessac (33) ; volume explicite 150-200 factures/mois + saisie contrats de sous-traitance"
D-013,"je paie 13€/h quelqu'un pour saisir devis, commandes, factures et autres documents administratifs",jobs,https://candidat.francetravail.fr/offres/recherche/detail/208ZDSC,2026-07-25,1,"Assistant Commercial/ADV, Saint-Sulpice-la-Pointe (81), 13€ brut/h + TR ; saisie documentaire quotidienne"
D-014,"je paie un opérateur de saisie dont le seul métier est d'entrer des documents écrits ou enregistrés dans des bases de données",jobs,https://www.hellowork.com/fr-fr/emploi/metier_operateur-de-saisie.html,2026-07-25,15,"HelloWork : 200+ offres opérateur de saisie, 315 agent de saisie, 128 missions intérim ; France entière ; SMIC-13€/h typique"
D-015,"je paie un assistant d'agence immobilière pour rédiger et diffuser les annonces sur les portails et tenir la vitrine à jour",jobs,https://candidat.francetravail.fr/offres/recherche/detail/200JYPQ,2026-07-25,3,"Assistant commercial agence immobilière : Arreau 200JYPQ (rédaction + publication annonces), Thonon 211DBHB (diffusion annonces + vitrine + registres), Carbonne 204MLKN ; hebdomadaire"
D-016,"je paie un gestionnaire de planning pour mettre à jour en continu les plannings des intervenants à domicile et gérer les remplacements",jobs,https://fr.indeed.com/q-gestionnaire-planning-aide-a-domicile-emplois.html,2026-07-25,10,"Indeed FR : 300+ offres gestionnaire planning aide à domicile + 75 offres 'gestionnaire planning Octime' (saisie dans logiciel dédié) ; MAJ quotidienne absences/congés/remplacements"
D-017,"je paie un assistant e-commerce 11,88€/h pour créer et mettre en ligne les fiches produits une par une (titre, description, dimensions, variantes, prix, mots-clés)",jobs,https://candidat.francetravail.fr/offres/recherche/detail/194WTLN,2026-07-25,3,"Assistant e-commerce My Roller Stone Argelès-sur-Mer CDD 5 mois 11,88€/h + Bondues 204CPVB (mise en ligne visuels/descriptions) + Dole 207LFQJ ; flux continu de catalogue"
D-018,"je paie un gestionnaire de paie pour collecter et saisir les variables de paie de chaque salarié tous les mois",jobs,https://candidat.francetravail.fr/offres/emploi/gestionnaire-de-paie/val-de-marne/s12m5d94,2026-07-25,5,"Gestionnaire de paie (multiples offres Val-de-Marne et France) ; collecte + saisie variables + contrôle bulletins, cycle mensuel strict ; 24-32K€ typique"
D-019,"je paie une secrétaire médicale uniquement pour taper les comptes rendus dictés par les médecins",jobs,https://candidat.francetravail.fr/offres/recherche/detail/192NNJH,2026-07-25,3,"Secrétaire médicale 'pour la frappe' Paris 8 + Levallois 210XGSJ + centre imagerie Martigues 207MFLB ; transcription audio->texte quotidienne ; 25-30K€ annoncés sur un poste équivalent Nantes"
D-020,"je paie une télésecrétaire pour prendre les rendez-vous de plusieurs cabinets et saisir les informations rapidement",jobs,https://candidat.francetravail.fr/offres/recherche/detail/208DWXK,2026-07-25,2,"Télésecrétaire médicale Carhaix (gestion multi-cabinets) + secrétaire Levallois (RDV via Doctolib) ; flux d'appels quotidien"
D-021,"je paie un assistant formation pour gérer inscriptions, conventions, convocations et dossiers stagiaires de chaque session",jobs,https://candidat.francetravail.fr/offres/recherche/detail/207RHZW,2026-07-25,4,"Assistant(e) de formation : Les Sorinières 207RHZW, St-Laurent-Blangy 207JFRM (inscriptions + prises en charge + convocations + facturation), Gouvieux 207GQJD, Toulouse 206VZFX ; à chaque session (hebdo)"
D-022,"je paie un office manager pour traiter les notes de frais dans le logiciel et suivre les factures fournisseurs",jobs,https://www.welcometothejungle.com/fr/companies/leasecom/jobs/office-manager-en-alternance-hf_merignac_LEASE_gaG7oqK,2026-07-25,2,"Office manager alternance Leasecom Mérignac + Assistant admin/back-office Assurup Neuilly (WTTJ) ; mensuel"
D-023,"je paie 34-38K€ un assistant de gestion locative pour le quittancement, les comptes locataires, les révisions de loyer et le suivi des relances",jobs,https://candidat.francetravail.fr/offres/recherche/detail/210LSXQ,2026-07-25,2,"Assistant gestion locative G2F Conseil Boulogne-Billancourt 34-38K€ + Paris 10e 204GWGX ; quittancement mensuel = WTP élevée explicite"
D-024,"je paie 2306€/mois x13 un assistant pour établir les quittances de loyer et suivre les encaissements et impayés locataires",jobs,https://candidat.francetravail.fr/offres/recherche/detail/207LJGM,2026-07-25,4,"Assistant gestion locative La Motte-Servolex (2306€ x13 + prime 1200€) + Montpellier 200YKHK + Mont-de-Marsan 208LMWR + Castelnau-le-Lez 203SWGQ ; cycle mensuel"
D-025,"je paie un assistant d'exploitation transport pour saisir les ordres de transport dans le TMS et éditer les tournées",jobs,https://candidat.francetravail.fr/offres/recherche/detail/210HKVY,2026-07-25,3,"Assistant exploitation transport Vesoul 210HKVY + Graveson 189YRTY (réception et saisie des OT dans TMS, édition tournées) + Louvres 210PJMR ; quotidien"
D-026,"je paie un agent d'exploitation pour saisir les commandes et éditer les bordereaux de chargement/déchargement",jobs,https://candidat.francetravail.fr/offres/recherche/detail/209BDSC,2026-07-25,1,"Agent exploitation transport routier Noidans-le-Ferroux (70) ; quotidien"
D-027,"je paie un assistant travaux pour suivre les situations de travaux, les bons de commande et les contrats de sous-traitance chantier par chantier",jobs,https://candidat.francetravail.fr/offres/recherche/detail/202KZXQ,2026-07-25,4,"Assistant travaux Pinsaguel + Assistant gestion BTP St-Louis 207KBGB (factures + situations mensuelles) + Assistant admin BTP Metz 204VPTZ + Gonfreville 182JFPB (clôtures mensuelles, appels d'offres) ; cycle mensuel"
