id,douleur_courte,acheteur,workflow,connecteurs,type,fit_mcp,interface_requise,prix_plausible,occurrences
A-013,"Vérification manuelle des permis sales tax État par État, très chronophage","dirigeant ou responsable compta de PME e-commerce US multi-états, 1-20 salariés",conformité fiscale sales tax multi-états,portails fiscaux des États (scraping);registre interne des permis;tableur,niche,moyen,mixte,50-100 €/mois,1
A-014,Consolidation multi-plateformes des analytics social media sans insight actionnable,"gérant ou marketeur solo de PME, 1-20 salariés",reporting marketing social media,APIs Meta/Instagram;LinkedIn;TikTok;X,generique,fort,mixte,20-50 €/mois,1
A-015,Partager un calculateur interactif type Excel avec des clients sans compte,"consultant ou gérant de PME de services, 1-10 salariés",partage d'outils de calcul avec les clients,tableur (import Excel);hébergement web;email,generique,faible,dashboard,10-30 €/mois,1
A-016,"Facturation à jalons avec relances automatiques par échéance, mal couverte","gérant de PME de services facturant à jalons, 1-20 salariés",facturation échelonnée et relances d'impayés,"facturation/compta (QuickBooks, Stripe);email;import Excel",generique,moyen,mixte,30-60 €/mois,1
A-017,Évaluation logicielle en équipe noyée dans emails et versions de spreadsheets,"dirigeant ou responsable ops de PME, 10-50 salariés",évaluation et achat de logiciels,email;tableur;comparateurs logiciels (scraping),generique,moyen,mixte,20-50 €/mois,1
A-018,Mapping manuel de contrôles compliance multi-référentiels cassé à chaque changement réglementaire,"dirigeant de MSP avec offre compliance/vCISO, 5-50 salariés",mapping de contrôles de conformité multi-référentiels,"référentiels (NIST, ISO, CIS);outil GRC;tableur",niche,fort,mixte,100-300 €/mois,1
A-019,"Bascule manuelle entre 125 tenants Microsoft, Lighthouse trop limité en solo",consultant M365 solo gérant un parc multi-tenants (125 tenants),administration multi-tenants Microsoft 365,Microsoft Graph;Partner Center;Entra ID,niche,fort,mixte,50-150 €/mois,1
A-020,Synchronisation manuelle des configurations NinjaRMM vers ConnectWise pour 100+ clients,"responsable ops de MSP, 10-50 salariés, 100+ clients",synchronisation RMM vers PSA (documentation clients),API NinjaRMM;API ConnectWise,niche,moyen,dashboard,100-250 €/mois,1
A-021,Migration manuelle poste par poste des comptes locaux vers Entra,"technicien ou gérant de MSP migrant des TPE vers M365 Business Premium, 1-20 salariés",migration de postes vers Entra ID / M365,Entra ID / Microsoft Graph;outillage poste Windows (scripts),niche,faible,dashboard,50-100 €/mois,1
A-023,"Rédaction manuelle de Statements of Work, longue et avec oublis de périmètre","dirigeant ou avant-vente de MSP, 5-30 salariés",chiffrage et rédaction de SoW/devis projets,PSA (ConnectWise);bibliothèque de templates;CRM,niche,fort,conversationnel,50-150 €/mois,1
A-025,Export unitaire de 794 boîtes mail depuis un portail Datto lent,"technicien ou gérant de MSP, 5-30 salariés",sortie/migration de backups SaaS M365,API Datto SaaS Protection;Microsoft 365,niche,faible,dashboard,"0-50 €/mois (besoin ponctuel, paiement à l'usage plus plausible)",1
A-026,Vérification manuelle client par client du départ offsite des backups,"gérant de petit MSP, 1-10 salariés",supervision quotidienne des backups clients,APIs backup (StorageCraft);stockage cloud (Wasabi);email/alerting,niche,faible,dashboard,50-100 €/mois,1
A-027,Configuration répétitive de 25+ iPads partagés avec les mêmes réglages,"technicien de MSP ou IT manager gérant une flotte de tablettes partagées, 1-20 salariés",provisioning MDM de flottes de tablettes partagées,Apple Business Manager;MDM,niche,faible,dashboard,30-80 €/mois,1
A-028,Suivi et refacturation cloud O365/Azure multi-clients douloureux et non rentable,"gérant de petit MSP revendeur cloud, 1-15 salariés",refacturation cloud multi-clients,Microsoft Partner Center;PSA/compta;facturation,niche,moyen,mixte,100-200 €/mois,1
A-029,"Standardisation manuelle du poste Windows (layout, menu, programmes) par utilisateur","technicien de MSP déployant des postes Windows standardisés, 1-20 salariés",standardisation de postes Windows à l'onboarding,Intune;GPO/scripts Windows,niche,faible,dashboard,20-50 €/mois,1
A-030,"Documentation MSP limitée hors du basique : IPAM pauvre, recherche insuffisante","gérant ou technicien de MSP, 5-30 salariés","documentation technique clients (IPAM, procédures, assets)",Hudu/documentation;RMM;réseau (IPAM),niche,moyen,mixte,50-150 €/mois,1
A-032,"Provisioning manuel des licences, source d'erreurs de facturation et de ratés","responsable ops de MSP, 5-30 salariés",gestion et refacturation des licences logicielles clients,Microsoft Partner Center;distributeurs (Pax8);PSA,niche,moyen,mixte,100-200 €/mois,1
A-033,Stack cybersécurité fragmentée entre six familles d'outils et autant de vendors,"dirigeant de MSP/MSSP, 10-50 salariés",pilotage de la stack cybersécurité managée,SIEM;EDR;scanner vuln;IAM;sécurité email,niche,faible,dashboard,200-500 €/mois,1
A-034,Reconnaissance de revenus de frais de scolarité ingérable dans Excel,"comptable ou DAF d'établissement d'enseignement privé en croissance, 20-200 salariés",clôture comptable et reconnaissance de revenus (rev rec),Xero;système de gestion de scolarité;tableur,niche,moyen,mixte,100-200 €/mois,1
A-036,Réconciliation quotidienne paiements/POS faussée par des horaires de batch décalés,"comptable de commerce ou restauration multi-sites, PME 10-100 salariés",réconciliation quotidienne paiements / caisse,processeur de paiement;POS/caisse;compta,niche,moyen,mixte,50-150 €/mois,1
